q3,age,q4,q61,q9,q10,q11
2,68,5,9,10,1,1
1,38,5,10,7,1,1
1,44,5,7,5,1,3
1,45,5,5,5,2,2
1,19,5,5,6,2,-9
2,19,5,7,7,1,-9
2,31,5,7,10,1,1
2,40,5,9,10,1,4
1,45,5,10,10,1,2
1,22,6,7,10,2,-9
1,62,5,3,5,2,-9
2,28,5,9,10,1,1
1,30,5,10,9,1,1
1,64,5,10,6,1,1
2,56,5,6,10,1,-9
2,36,5,10,8,1,1
1,74,5,4,10,1,2
2,28,5,5,10,5,5
1,71,5,9,0,4,NA
2,55,5,7,5,1,-9
1,30,5,9,4,1,3
2,43,5,7,6,1,1
2,20,5,6,6,2,1
1,47,5,10,7,1,1
2,76,5,5,7,1,-9
1,39,5,7,5,1,3
2,27,5,9,6,1,5
1,58,5,3,7,3,1
1,69,5,5,8,1,-9
2,34,5,9,8,1,1
2,44,5,7,4,1,2
1,29,5,10,8,1,-9
2,39,5,10,7,1,2
1,67,5,9,9,1,-9
1,28,5,7,9,1,2
1,55,5,7,5,2,-9
1,70,5,10,9,1,1
2,39,5,7,7,1,-9
1,55,5,9,10,1,2
2,50,5,9,9,1,-8
1,61,5,9,8,1,4
1,52,5,5,10,5,2
1,45,6,9,10,1,1
1,39,5,11,6,1,-9
1,40,5,10,10,1,5
2,42,5,9,7,1,1
2,47,5,9,2,2,-9
1,23,5,4,4,2,4
1,26,5,9,3,1,2
1,22,6,9,10,1,3
2,51,6,9,8,1,3
2,63,6,9,6,1,2
1,60,6,8,4,1,-9
1,45,6,5,9,1,2
2,48,5,1,0,-9,NA
1,67,4,10,8,1,5
1,49,6,7,9,1,3
1,54,6,5,2,2,-9
2,64,6,9,10,1,1
1,37,6,9,6,1,1
2,50,6,9,10,1,-9
1,60,6,7,10,1,-9
2,47,6,9,4,1,-9
1,54,6,6,8,1,-9
2,46,6,11,7,1,3
2,34,6,7,5,1,-9
2,36,6,10,8,1,3
1,35,6,5,10,1,2
1,57,6,11,8,1,1
2,69,6,5,10,1,-9
1,46,6,7,10,1,2
2,47,6,7,8,1,2
2,61,6,10,9,1,1
1,26,6,10,6,2,1
1,46,6,10,9,1,-8
2,64,6,8,9,1,5
1,69,6,5,8,1,2
1,46,6,7,5,1,1
1,36,6,7,7,1,-9
2,48,6,5,8,1,1
2,40,6,9,5,1,-9
2,53,6,6,10,1,1
2,28,6,8,10,1,-9
1,71,6,9,8,1,-9
2,54,6,9,8,1,1
2,27,6,9,10,1,-9
2,46,6,7,1,4,NA
2,72,6,9,10,1,1
1,47,6,8,10,1,2
2,44,6,10,10,1,3
1,60,6,7,9,1,2
1,35,6,9,8,1,1
1,26,6,9,7,1,1
2,25,6,5,9,1,3
2,43,6,8,7,5,-8
2,68,6,9,10,1,-9
1,63,6,9,8,1,1
1,60,6,7,5,-9,NA
2,50,6,6,8,1,1
2,57,6,7,10,1,2
1,74,6,7,6,1,1
1,48,4,10,8,1,1
1,38,6,10,8,1,-8
2,24,6,9,2,3,-8
1,50,6,7,8,1,1
1,42,6,5,7,1,2
1,45,6,7,7,2,2
1,66,6,5,10,1,2
2,60,6,10,10,1,-9
1,52,6,5,8,1,-9
1,23,6,5,5,2,1
1,29,6,9,8,1,9
2,40,6,9,8,1,1
1,20,6,8,6,1,2
1,52,6,9,10,1,1
2,70,6,9,8,1,-8
1,47,6,7,10,1,2
1,64,6,8,8,1,2
1,42,6,9,7,1,1
2,41,6,5,7,2,1
2,29,6,9,8,1,5
1,61,6,9,10,1,-9
2,62,6,8,7,1,-8
2,29,6,9,2,2,-9
2,49,6,9,10,1,2
1,33,6,5,10,1,-9
1,67,6,5,10,1,2
2,41,6,7,5,2,-9
2,21,6,6,0,2,1
2,68,6,5,5,3,3
1,39,6,9,9,1,2
1,24,6,9,5,2,1
2,68,6,9,8,1,1
2,66,6,7,9,1,-9
1,27,6,9,6,1,1
2,41,6,9,9,1,1
2,45,6,7,7,1,3
1,61,6,9,10,1,-9
1,51,6,4,10,1,1
2,47,6,9,10,1,3
2,57,6,-9,8,1,2
1,56,6,6,10,2,-9
2,75,6,7,5,1,1
1,50,6,9,10,1,1
2,50,6,9,7,1,1
2,85,6,4,8,1,1
2,34,6,9,10,1,2
2,45,6,11,6,2,1
1,54,6,9,7,2,-8
1,48,6,8,9,1,1
1,67,6,9,10,1,2
1,72,6,9,8,5,1
1,76,6,11,10,1,1
2,55,6,11,10,1,3
1,21,6,5,7,2,3
1,50,6,9,10,1,-9
1,48,10,6,10,1,5
1,53,10,5,5,1,2
2,35,10,5,7,1,-9
2,45,10,6,2,3,-9
1,24,10,9,8,1,2
2,32,10,9,5,1,5
2,28,10,9,9,1,3
2,51,10,5,6,1,3
1,34,10,6,10,1,2
2,72,10,5,-9,2,1
1,41,10,7,8,1,5
2,40,10,9,10,1,5
1,24,10,9,10,1,1
2,63,10,7,9,1,1
1,25,10,2,10,1,3
2,46,10,7,0,1,5
2,39,10,9,10,1,1
1,35,10,9,5,2,-9
1,18,10,5,10,1,1
1,72,10,9,10,1,2
1,41,10,11,10,1,3
1,26,10,5,7,2,-8
1,50,10,7,10,1,7
1,18,10,8,4,2,2
1,69,10,5,8,1,5
1,26,10,7,7,1,6
2,63,10,10,6,2,-9
3,27,10,5,8,1,3
2,29,10,9,6,2,-9
2,22,10,7,6,1,-9
1,54,10,9,8,1,1
1,51,10,9,8,1,-9
2,32,10,7,7,2,3
1,76,10,11,8,1,1
1,57,10,7,5,1,5
